Edad;Sexo;Periodo;Total
De 40 a 44 años;Hombres;2006;4,75
De 40 a 44 años;Mujeres;2021;13,4
De 40 a 44 años;Mujeres;2020;14,61
De 40 a 44 años;Mujeres;2019;13,97
De 40 a 44 años;Mujeres;2018;14,72
De 40 a 44 años;Mujeres;2017;17,12
De 40 a 44 años;Mujeres;2016;18,69
De 40 a 44 años;Mujeres;2015;21,27
De 40 a 44 años;Mujeres;2014;23,36
De 40 a 44 años;Mujeres;2013;23,88
De 40 a 44 años;Mujeres;2012;23,32
De 40 a 44 años;Mujeres;2011;20,14
De 40 a 44 años;Mujeres;2010;17,64
De 40 a 44 años;Mujeres;2009;15,83
De 40 a 44 años;Mujeres;2008;12,12
De 40 a 44 años;Mujeres;2007;9,33
De 40 a 44 años;Mujeres;2006;9,74
De 45 a 49 años;Ambos sexos;2021;11,5
De 45 a 49 años;Ambos sexos;2020;12,36
De 45 a 49 años;Ambos sexos;2019;11,55
De 45 a 49 años;Ambos sexos;2018;12,87
De 45 a 49 años;Ambos sexos;2017;15,06
De 45 a 49 años;Ambos sexos;2016;16,98
De 45 a 49 años;Ambos sexos;2015;19,97
De 45 a 49 años;Ambos sexos;2014;21,74
De 45 a 49 años;Ambos sexos;2013;22,94
De 45 a 49 años;Ambos sexos;2012;21,23
De 45 a 49 años;Ambos sexos;2011;17,8
De 45 a 49 años;Ambos sexos;2010;15,82
De 45 a 49 años;Ambos sexos;2009;13,92
De 45 a 49 años;Ambos sexos;2008;8,51
De 45 a 49 años;Ambos sexos;2007;6,28
De 45 a 49 años;Ambos sexos;2006;5,8
De 45 a 49 años;Hombres;2021;8,68
De 45 a 49 años;Hombres;2020;10,24
De 45 a 49 años;Hombres;2019;9,48
De 45 a 49 años;Hombres;2018;10,76
De 45 a 49 años;Hombres;2017;12,85
De 45 a 49 años;Hombres;2016;14,74
De 45 a 49 años;Hombres;2015;17,56
De 45 a 49 años;Hombres;2014;20,57
De 45 a 49 años;Hombres;2013;22,18
De 45 a 49 años;Hombres;2012;20,45
De 45 a 49 años;Hombres;2011;16,71
De 45 a 49 años;Hombres;2010;14,63
De 45 a 49 años;Hombres;2009;13,27
De 45 a 49 años;Hombres;2008;7,76
De 45 a 49 años;Hombres;2007;4,64
De 45 a 49 años;Hombres;2006;4,03
De 45 a 49 años;Mujeres;2021;14,69
De 45 a 49 años;Mujeres;2020;14,79
De 45 a 49 años;Mujeres;2019;13,92
De 45 a 49 años;Mujeres;2018;15,33
